Wavelength,Intensity
625.07,13.16,0.00
625.94,13.33,0.00
626.95,12.74,0.00
627.97,12.48,0.00
628.98,12.43,0.00
630.00,12.10,0.00
631.01,11.80,0.00
632.02,11.50,0.00
633.04,11.19,0.00
634.05,11.16,0.00
635.07,10.52,0.00
635.94,10.38,0.00
636.95,10.24,0.00
637.97,9.84,0.00
638.98,9.46,0.00
640.00,9.40,0.00
641.01,9.48,0.00
642.02,9.28,0.00
643.04,8.75,0.00
644.05,8.78,0.00
645.07,8.37,0.00
645.94,8.10,0.00
646.95,8.12,0.00
647.97,8.02,0.00
648.98,7.50,0.00
650.00,7.54,0.00
651.01,7.26,0.00
652.02,7.12,0.00
653.04,6.95,0.00
654.05,6.84,0.00
655.07,6.58,0.00
655.94,6.70,0.00
656.95,6.13,0.00
657.97,6.29,0.00
658.98,6.06,0.00
660.00,5.73,0.00
661.00,5.86,0.00
662.00,5.62,0.00
663.00,5.63,0.00
664.00,5.40,0.00
665.00,5.41,0.00
666.00,5.43,0.00
667.00,5.33,0.00
668.00,5.28,0.00
669.00,5.27,0.00
670.00,5.14,0.00
671.00,5.03,0.00
672.00,5.14,0.00
673.00,5.12,0.00
674.00,4.97,0.00
675.00,4.88,0.00
676.00,5.32,0.00
677.00,5.37,0.00
678.00,5.57,0.00
679.00,6.48,0.00
680.00,7.25,0.00
681.00,9.48,0.00
682.00,12.79,0.00
683.00,16.57,0.00
684.00,22.79,0.00
685.00,30.83,0.00
686.00,40.20,0.00
687.00,52.75,0.00
688.00,63.42,0.00
689.00,77.68,0.00
690.00,88.65,0.00
691.00,104.24,0.00
692.00,114.69,0.00
693.00,124.63,0.00
694.00,136.51,0.00
695.00,144.37,0.00
696.00,147.98,0.00
697.00,151.55,0.00
698.00,155.59,0.00
699.00,160.82,0.00
700.00,163.75,0.00
701.00,164.11,0.00
702.00,164.84,0.00
703.00,165.89,0.00
704.00,162.67,0.00
705.00,157.29,0.00
706.00,152.02,0.00
707.00,144.68,0.00
708.00,134.86,0.00
709.00,124.86,0.00
710.00,115.50,0.00
710.98,102.99,0.00
711.97,91.17,0.00
712.95,77.94,0.00
713.94,64.71,0.00
715.07,52.69,0.00
716.05,45.22,0.00
717.04,36.35,0.00
718.02,29.26,0.00
719.01,25.09,0.00
720.00,22.34,0.00
720.98,20.21,0.00
721.97,18.28,0.00
722.95,17.42,0.00
723.94,16.79,0.00
725.07,16.37,0.00
726.05,16.62,0.00
727.04,16.95,0.00
728.02,16.85,0.00
729.01,16.58,0.00
730.00,16.75,0.00
730.98,16.70,0.00
731.97,16.61,0.00
732.95,17.02,0.00
733.94,16.90,0.00
735.07,17.12,0.00
736.05,17.23,0.00
737.04,16.58,0.00
738.02,16.74,0.00
739.01,16.88,0.00
740.00,16.74,0.00
740.98,16.70,0.00
741.97,16.46,0.00
742.95,16.66,0.00
743.94,16.68,0.00
745.07,16.90,0.00
746.05,16.83,0.00
747.04,16.30,0.00
748.02,16.28,0.00
749.01,16.31,0.00
750.00,16.28,0.00
750.97,17.13,0.00
751.94,16.85,0.00
753.05,17.41,0.00
754.02,17.93,0.00
755.00,18.71,0.00
755.97,19.30,0.00
756.94,19.61,0.00
758.05,20.47,0.00
759.02,20.80,0.00
760.00,21.40,0.00
760.97,21.88,0.00
761.94,22.11,0.00
763.05,22.47,0.00
764.02,22.07,0.00
765.00,21.79,0.00
765.97,21.41,0.00
766.94,21.47,0.00
768.05,21.41,0.00
769.02,20.61,0.00
770.00,19.86,0.00
770.97,19.17,0.00
771.94,18.31,0.00
773.05,17.40,0.00
774.02,16.65,0.00
775.00,16.45,0.00
775.97,15.61,0.00
776.94,14.96,0.00
778.05,14.46,0.00
779.02,13.23,0.00
780.00,13.31,0.00
780.95,12.74,0.00
782.05,12.41,0.00
783.01,12.30,0.00
783.97,11.53,0.00
785.06,10.83,0.00
786.02,10.72,0.00
786.98,10.84,0.00
787.94,10.40,0.00
789.04,10.33,0.00
790.00,9.93,0.00
790.95,9.86,0.00
792.05,10.01,0.00
793.01,9.92,0.00
793.97,9.35,0.00
795.06,9.88,0.00
796.02,9.87,0.00
796.98,9.71,0.00
797.94,9.57,0.00
799.04,9.91,0.00
800.00,9.73,0.00
800.95,9.93,0.00
802.05,10.10,0.00
803.01,9.82,0.00
803.97,10.25,0.00
805.06,10.34,0.00
806.02,10.25,0.00
806.98,10.18,0.00
807.94,10.19,0.00
